nume_actiune,timestamp
findMedicSpecialistById,2026-06-04T18:49:01.257484549
findPacientByName,2026-06-04T18:49:01.257619432
findPacientiByDiagnostic,2026-06-04T18:49:01.257764855
getUrgentPacienti,2026-06-04T18:49:01.258014583
deleteMedicament,2026-06-04T18:49:01.258147191
findMedicamentByName,2026-06-04T18:49:01.258212684
getAllMedicamente,2026-06-04T18:49:01.258486227
addMedicament,2026-06-04T18:49:01.258755812
findMedicById,2026-06-04T18:49:01.258934457
salveaza_medic_db,2026-06-04T18:49:01.356507474
salveaza_medic_db,2026-06-04T18:49:01.357001079
salveaza_medic_db,2026-06-04T18:49:01.357398394
listeaza_medici_db,2026-06-04T18:49:01.362859453
cauta_medic_db,2026-06-04T18:49:01.363618837
actualizeaza_medic_db,2026-06-04T18:49:01.364553289
cauta_medic_db,2026-06-04T18:49:01.365040122
sterge_medic_db,2026-06-04T18:49:01.365734604
listeaza_medici_db,2026-06-04T18:49:01.366049595
salveaza_sala_db,2026-06-04T18:49:01.366797978
salveaza_sala_db,2026-06-04T18:49:01.367153083
actualizeaza_sala_db,2026-06-04T18:49:01.367587017
listeaza_sali_db,2026-06-04T18:49:01.367867262
salveaza_medicament_db,2026-06-04T18:49:01.368584778
salveaza_medicament_db,2026-06-04T18:49:01.369031746
salveaza_medicament_db,2026-06-04T18:49:01.369467943
sterge_medicament_db,2026-06-04T18:49:01.370192312
listeaza_medicamente_db,2026-06-04T18:49:01.370503555
interneaza_pacient_db,2026-06-04T18:49:01.372467487
interneaza_pacient_db,2026-06-04T18:49:01.373165486
listeaza_pacienti_db,2026-06-04T18:49:01.374563246
prescrie_medicament_db,2026-06-04T18:49:01.376627597
prescrie_medicament_db,2026-06-04T18:49:01.377682615
prescrie_medicament_db,2026-06-04T18:49:01.378519324
prescrie_medicament_rollback,2026-06-04T18:49:01.379319023
listeaza_medicamente_db,2026-06-04T18:49:01.380008606
raport_pacienti_urgenti,2026-06-04T18:49:01.382948828
raport_pacienti_per_medic,2026-06-04T18:49:01.386530704
raport_top_medicamente,2026-06-04T18:49:01.390158636
raport_prescriptii_pacient,2026-06-04T18:49:01.392499114
